Date,Close/Last,Volume,Open,High,Low
11/03/2015,1.59,N/A,1.59,1.59,1.59
11/02/2015,1.57,N/A,1.57,1.57,1.57
10/30/2015,1.52,N/A,1.52,1.52,1.52
10/29/2015,1.53,N/A,1.53,1.53,1.53
10/28/2015,1.47,N/A,1.47,1.47,1.47
10/27/2015,1.38,N/A,1.38,1.38,1.38
10/26/2015,1.41,N/A,1.41,1.41,1.41
10/23/2015,1.43,N/A,1.43,1.43,1.43
10/22/2015,1.36,N/A,1.36,1.36,1.36
10/21/2015,1.37,N/A,1.37,1.37,1.37
10/20/2015,1.4,N/A,1.4,1.4,1.4
10/19/2015,1.35,N/A,1.35,1.35,1.35
10/16/2015,1.36,N/A,1.36,1.36,1.36
10/15/2015,1.34,N/A,1.34,1.34,1.34
10/14/2015,1.29,N/A,1.29,1.29,1.29
10/13/2015,1.36,N/A,1.36,1.36,1.36
10/12/2015,1.41,N/A,1.41,1.41,1.41
10/09/2015,1.41,N/A,1.41,1.41,1.41
10/08/2015,1.4,N/A,1.4,1.4,1.4
10/07/2015,1.37,N/A,1.37,1.37,1.37
10/06/2015,1.34,N/A,1.34,1.34,1.34
10/05/2015,1.35,N/A,1.35,1.35,1.35
10/02/2015,1.29,N/A,1.29,1.29,1.29
10/01/2015,1.37,N/A,1.37,1.37,1.37
09/30/2015,1.37,N/A,1.37,1.37,1.37
09/29/2015,1.37,N/A,1.37,1.37,1.37
09/28/2015,1.42,N/A,1.42,1.42,1.42
09/25/2015,1.48,N/A,1.48,1.48,1.48
09/24/2015,1.44,N/A,1.44,1.44,1.44
09/23/2015,1.47,N/A,1.47,1.47,1.47
09/22/2015,1.44,N/A,1.44,1.44,1.44
09/21/2015,1.51,N/A,1.51,1.51,1.51
09/18/2015,1.45,N/A,1.45,1.45,1.45
09/17/2015,1.5,N/A,1.5,1.5,1.5
09/16/2015,1.62,N/A,1.62,1.62,1.62
09/15/2015,1.61,N/A,1.61,1.61,1.61
09/14/2015,1.51,N/A,1.51,1.51,1.51
09/11/2015,1.52,N/A,1.52,1.52,1.52
09/10/2015,1.55,N/A,1.55,1.55,1.55
09/09/2015,1.53,N/A,1.53,1.53,1.53
09/08/2015,1.53,N/A,1.53,1.53,1.53
09/07/2015,1.47,N/A,1.47,1.47,1.47
09/04/2015,1.47,N/A,1.47,1.47,1.47
09/03/2015,1.49,N/A,1.49,1.49,1.49
09/02/2015,1.52,N/A,1.52,1.52,1.52
09/01/2015,1.49,N/A,1.49,1.49,1.49
08/31/2015,1.54,N/A,1.54,1.54,1.54
08/28/2015,1.52,N/A,1.52,1.52,1.52
08/27/2015,1.49,N/A,1.49,1.49,1.49
08/26/2015,1.49,N/A,1.49,1.49,1.49
08/25/2015,1.48,N/A,1.48,1.48,1.48
08/24/2015,1.39,N/A,1.39,1.39,1.39
08/21/2015,1.44,N/A,1.44,1.44,1.44
08/20/2015,1.5,N/A,1.5,1.5,1.5
08/19/2015,1.5,N/A,1.5,1.5,1.5
08/18/2015,1.6,N/A,1.6,1.6,1.6
08/17/2015,1.58,N/A,1.58,1.58,1.58
08/14/2015,1.61,N/A,1.61,1.61,1.61
